2026-06-13T05:27:00.788Z KuCoin fetch err for MANTA: read ECONNRESET | cause: undefined
2026-06-13T05:27:01.381Z KuCoin fetch err for ENA: read ECONNRESET | cause: undefined
2026-06-13T05:27:02.557Z KuCoin fetch err for INJ: read ECONNRESET | cause: undefined
2026-06-13T05:28:01.040Z KuCoin fetch err for LINK: read ECONNRESET | cause: undefined
2026-06-13T05:28:01.686Z KuCoin fetch err for MATIC: read ECONNRESET | cause: undefined
2026-06-13T05:28:04.108Z KuCoin fetch err for FIL: read ECONNRESET | cause: undefined
2026-06-13T05:28:04.581Z KuCoin fetch err for PYTH: read ECONNRESET | cause: undefined
2026-06-13T05:28:04.805Z KuCoin fetch err for SUI: read ECONNRESET | cause: undefined
2026-06-13T05:28:46.059Z KuCoin fetch err for ONDO: read ECONNRESET | cause: undefined
2026-06-13T05:28:46.664Z KuCoin fetch err for MANTA: read ECONNRESET | cause: undefined
2026-06-13T05:28:47.745Z KuCoin fetch err for PENDLE: read ECONNRESET | cause: undefined
2026-06-13T05:28:48.477Z KuCoin fetch err for TIA: read ECONNRESET | cause: undefined
2026-06-13T05:28:50.176Z KuCoin fetch err for PEPE: read ECONNRESET | cause: undefined
2026-06-13T05:29:00.403Z KuCoin fetch err for TIA: read ECONNRESET | cause: undefined
2026-06-13T05:29:00.875Z KuCoin fetch err for FARTCOIN: read ECONNRESET | cause: undefined
2026-06-13T05:29:01.330Z KuCoin fetch err for POPCAT: read ECONNRESET | cause: undefined
2026-06-13T05:29:02.043Z KuCoin fetch err for OP: read ECONNRESET | cause: undefined
2026-06-13T05:29:02.466Z KuCoin fetch err for GRT: read ECONNRESET | cause: undefined
2026-06-13T05:29:03.664Z KuCoin fetch err for UNI: read ECONNRESET | cause: undefined
2026-06-13T05:29:04.805Z KuCoin fetch err for BONK: read ECONNRESET | cause: undefined
2026-06-13T05:29:04.972Z KuCoin fetch err for FLOKI: read ECONNRESET | cause: undefined
2026-06-13T05:29:07.072Z KuCoin fetch err for VIRTUAL: read ECONNRESET | cause: undefined
2026-06-13T05:29:07.680Z KuCoin fetch err for GRT: read ECONNRESET | cause: undefined
2026-06-13T05:29:07.872Z KuCoin fetch err for AAVE: read ECONNRESET | cause: undefined
2026-06-13T05:29:09.117Z KuCoin fetch err for MATIC: read ECONNRESET | cause: undefined
2026-06-13T05:29:09.590Z KuCoin fetch err for WIF: read ECONNRESET | cause: undefined
2026-06-13T05:29:20.400Z KuCoin fetch err for GOAT: read ECONNRESET | cause: undefined
2026-06-13T05:29:20.429Z KuCoin fetch err for AVAX: read ECONNRESET | cause: undefined
2026-06-13T05:29:20.779Z KuCoin fetch err for ALT: read ECONNRESET | cause: undefined
2026-06-13T05:29:20.965Z KuCoin fetch err for DYDX: read ECONNRESET | cause: undefined
2026-06-13T05:29:21.135Z KuCoin fetch err for ETH: read ECONNRESET | cause: undefined
2026-06-13T05:29:23.382Z KuCoin fetch err for PYTH: read ECONNRESET | cause: undefined
2026-06-13T05:29:23.747Z KuCoin fetch err for MANA: read ECONNRESET | cause: undefined
2026-06-13T05:30:01.117Z KuCoin fetch err for NEAR: read ECONNRESET | cause: undefined
2026-06-13T05:30:02.352Z KuCoin fetch err for TRX: read ECONNRESET | cause: undefined
2026-06-13T05:30:02.671Z KuCoin fetch err for TON: read ECONNRESET | cause: undefined
2026-06-13T05:30:02.943Z KuCoin fetch err for GMX: read ECONNRESET | cause: undefined
2026-06-13T05:30:03.297Z KuCoin fetch err for PENDLE: read ECONNRESET | cause: undefined
2026-06-13T05:30:03.688Z KuCoin fetch err for DOGE: read ECONNRESET | cause: undefined
2026-06-13T05:30:03.896Z KuCoin fetch err for FIL: read ECONNRESET | cause: undefined
2026-06-13T05:31:00.011Z KuCoin fetch err for NEAR: read ECONNRESET | cause: undefined
2026-06-13T05:31:00.042Z KuCoin fetch err for INJ: read ECONNRESET | cause: undefined
2026-06-13T05:31:00.354Z KuCoin fetch err for TRX: read ECONNRESET | cause: undefined
2026-06-13T05:31:00.709Z KuCoin fetch err for SAND: read ECONNRESET | cause: undefined
2026-06-13T05:31:01.053Z KuCoin fetch err for GRT: read ECONNRESET | cause: undefined
2026-06-13T05:31:01.219Z KuCoin fetch err for TON: read ECONNRESET | cause: undefined
2026-06-13T05:31:01.810Z KuCoin fetch err for DOGE: read ECONNRESET | cause: undefined
2026-06-13T05:31:01.889Z KuCoin fetch err for FARTCOIN: read ECONNRESET | cause: undefined
2026-06-13T05:31:02.595Z KuCoin fetch err for GMX: read ECONNRESET | cause: undefined
2026-06-13T05:31:03.349Z KuCoin fetch err for OMG: read ECONNRESET | cause: undefined
2026-06-13T05:31:03.595Z KuCoin fetch err for FLOKI: read ECONNRESET | cause: undefined
2026-06-13T05:31:59.916Z KuCoin fetch err for FTM: read ECONNRESET | cause: undefined
2026-06-13T05:32:00.308Z KuCoin fetch err for DYDX: read ECONNRESET | cause: undefined
2026-06-13T05:32:00.628Z KuCoin fetch err for ARB: read ECONNRESET | cause: undefined
2026-06-13T05:32:02.041Z KuCoin fetch err for BRETT: read ECONNRESET | cause: undefined
2026-06-13T05:32:02.367Z KuCoin fetch err for OMG: read ECONNRESET | cause: undefined
2026-06-13T05:32:02.884Z KuCoin fetch err for ETH: read ECONNRESET | cause: undefined
2026-06-13T05:33:01.323Z KuCoin fetch err for BTC: read ECONNRESET | cause: undefined
2026-06-13T05:33:01.896Z KuCoin fetch err for LTC: read ECONNRESET | cause: undefined
2026-06-13T05:33:03.468Z KuCoin fetch err for AI16Z: read ECONNRESET | cause: undefined
